id;imdb_id;title;original_title;overview;vote_average;vote_count;popularity;revenue;budget
2013;tt0401383;The Diving Bell and the Butterfly;Le scaphandre et le papillon;The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.;7.6;772;9.431;19777647;14000020
57331;tt1322333;Largo Winch II;Largo Winch II;Propelled to the head of the W Group after the death of his adoptive father, Largo Winch decides, to everyone's surprise, to sell it, and use the proceeds to create an ambitious humanitarian foundation. But on the very same day, he finds himself accused of crimes against humanity by a mysterious witness. To prove his innocence, Largo will have to retrace the steps of his past life, in the heart of the Burmese jungle.;6.0;260;9.429;0;21169000
2029;tt0274155;Tanguy;Tanguy;;6.0;326;9.414;0;0
2266;tt0401711;Paris, Je T'Aime;Paris, je t'aime;Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.;6.8;512;9.41;4857367;13000000
624060;tt10715194;Back to School;La grande classe;Two adults go to their middle school reunion in order to show off their success to old bullies teenage crushes.;5.5;193;9.351;0;0
582895;tt7600706;Perfect Nanny;Chanson douce;When Myriam, the mother of two young children, decides, despite the reluctance of her husband to resume his activity in a law firm, the couple is looking for a nanny. After a severe casting, they engage Louise, who quickly conquers the affection of children and gradually occupies a central place in the home. Gradually the trap of mutual dependence will close, until the tragedy.;6.0;135;9.342;0;0
265228;tt3409392;Timbuktu;Timbuktu;A cattle herder and his family who reside in the dunes of Timbuktu find their quiet lives -- which are typically free of the Jihadists determined to control their faith -- abruptly disturbed. A look at the brief occupation of Timbuktu by militant Islamic rebels.;7.0;342;9.335;1076075;0
1826;tt0409184;Russian Dolls;Les Poupées Russes;Five years after their summer together in Barcelona, Xavier, William, Wendy, Martine and Isabelle reunite.;6.7;466;9.333;23727301;13000000
595975;tt9172422;La Belle Époque;La Belle Époque;Victor, a disillusioned sexagenarian, sees his life turned upside down on the day when Antoine, a brilliant entrepreneur, offers him a new kind of attraction: mixing theatrical artifices and historical reconstruction, this company offers his clients a chance to dive back into the era of their choice. Victor then chose to relive the most memorable week of his life: the one where, 40 years earlier, he met the great love.;7.5;587;9.321;13935410;11000000
86837;tt1602620;Amour;Amour;Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.;7.8;1099;9.305;29844753;8900000
9421;tt0119038;The Dinner Game;Le Dîner de cons;For Pierre Brochant and his friends, Wednesday is “Idiots' Day”. The idea is simple: each person has to bring along an idiot. The one who brings the most spectacular idiot wins the prize. Tonight, Brochant is ecstatic. He has found a gem. The ultimate idiot, “A world champion idiot!”. What Brochant doesn’t know is that Pignon is a real jinx, a past master in the art of bringing on catastrophes...;7.8;1303;9.298;78599508;12500000
